RML201610A | eval_cluster --  simclr | 6  | best acc = 0.74%, best ari = 0.73%, best nmi = 0.85% 
RML201610A | eval_cluster --  simclr | 6  | best acc = 0.74%, best ari = 0.73%, best nmi = 0.85% 
RML201610A | eval_cluster --  simclr | 10  | best acc = 0.73%, best ari = 0.73%, best nmi = 0.84% 
RML201610A | eval_cluster --  simclr | 10  | best acc = 0.75%, best ari = 0.73%, best nmi = 0.84% 
############################################################RML201610A | eval_cluster --  simclr | 6  | best acc = 0.74%, best ari = 0.73%, best nmi = 0.85% 
RML201610A | eval_cluster --  simclr | 6  | best acc = 0.74%, best ari = 0.73%, best nmi = 0.85% 
RML201610A | eval_cluster --  simclr | 10  | best acc = 0.75%, best ari = 0.73%, best nmi = 0.84% 
RML201610A | eval_cluster --  simclr | 10  | best acc = 0.75%, best ari = 0.73%, best nmi = 0.84% 
############################################################RML201610A | eval_cluster --  simclr | 6  | best acc = 0.74%, best ari = 0.73%, best nmi = 0.85% 
RML201610A | eval_cluster --  simclr | 6  | best acc = 0.74%, best ari = 0.73%, best nmi = 0.85% 
RML201610A | eval_cluster --  simclr | 10  | best acc = 0.69%, best ari = 0.69%, best nmi = 0.82% 
RML201610A | eval_cluster --  simclr | 10  | best acc = 0.75%, best ari = 0.73%, best nmi = 0.84% 
############################################################
